inst#,    actual, predicted, error, probability distribution
  1727          ?        2:1      +   0.193 *0.807
  1728          ?        1:0      +  *0.999  0.001
  1729          ?        2:1      +   0.118 *0.882
  1730          ?        1:0      +  *0.999  0.001
  1731          ?        1:0      +  *0.999  0.001
  1732          ?        1:0      +  *0.999  0.001
  1733          ?        2:1      +   0.193 *0.807
  1734          ?        2:1      +   0.118 *0.882
  1735          ?        2:1      +   0.193 *0.807
  1736          ?        2:1      +   0.193 *0.807
  1737          ?        2:1      +   0.193 *0.807
  1738          ?        2:1      +   0.193 *0.807
  1739          ?        2:1      +   0.193 *0.807
  1740          ?        2:1      +   0.118 *0.882
  1741          ?        2:1      +   0.118 *0.882
  1742          ?        2:1      +   0.118 *0.882
  1743          ?        1:0      +  *0.999  0.001
  1744          ?        1:0      +  *0.999  0.001
  1745          ?        1:0      +  *0.999  0.001
  1746          ?        2:1      +   0.193 *0.807
  1747          ?        1:0      +  *0.999  0.001
  1748          ?        2:1      +   0.118 *0.882
  1749          ?        2:1      +   0.118 *0.882
  1750          ?        2:1      +   0.118 *0.882
  1751          ?        1:0      +  *0.955  0.045
  1752          ?        2:1      +   0.193 *0.807
  1753          ?        1:0      +  *0.999  0.001
  1754          ?        1:0      +  *0.999  0.001
  1755          ?        1:0      +  *0.999  0.001
  1756          ?        2:1      +   0.118 *0.882
  1757          ?        2:1      +   0.118 *0.882
  1758          ?        2:1      +   0.193 *0.807
  1759          ?        2:1      +   0.118 *0.882
  1760          ?        1:0      +  *1      0    
  1761          ?        1:0      +  *1      0    
  1762          ?        2:1      +   0.118 *0.882
  1763          ?        2:1      +   0.193 *0.807
  1764          ?        1:0      +  *0.999  0.001
  1765          ?        1:0      +  *0.999  0.001
  1766          ?        2:1      +   0.118 *0.882
  1767          ?        2:1      +   0.193 *0.807
  1768          ?        1:0      +  *1      0    
  1769          ?        1:0      +  *1      0    
  1770          ?        1:0      +  *0.999  0.001
  1771          ?        2:1      +   0.193 *0.807
  1772          ?        1:0      +  *0.999  0.001
  1773          ?        2:1      +   0.118 *0.882
  1774          ?        2:1      +   0.118 *0.882
  1775          ?        2:1      +   0.118 *0.882
  1776          ?        2:1      +   0.193 *0.807
  1777          ?        2:1      +   0.193 *0.807
  1778          ?        1:0      +  *0.999  0.001
  1779          ?        2:1      +   0.118 *0.882
  1780          ?        1:0      +  *0.999  0.001
  1781          ?        2:1      +   0.193 *0.807
  1782          ?        2:1      +   0.118 *0.882
  1783          ?        2:1      +   0.193 *0.807
  1784          ?        2:1      +   0.118 *0.882
  1785          ?        2:1      +   0.193 *0.807
  1786          ?        2:1      +   0.193 *0.807
  1787          ?        1:0      +  *0.999  0.001
  1788          ?        1:0      +  *0.923  0.077
  1789          ?        2:1      +   0.118 *0.882
  1790          ?        2:1      +   0.193 *0.807
  1791          ?        1:0      +  *0.999  0.001
  1792          ?        2:1      +   0.193 *0.807
  1793          ?        1:0      +  *1      0    
  1794          ?        1:0      +  *0.999  0.001
  1795          ?        1:0      +  *0.999  0.001
  1796          ?        2:1      +   0.193 *0.807
  1797          ?        2:1      +   0.118 *0.882
  1798          ?        2:1      +   0.118 *0.882
  1799          ?        1:0      +  *1      0    
  1800          ?        1:0      +  *0.999  0.001
  1801          ?        2:1      +   0.118 *0.882
  1802          ?        2:1      +   0.118 *0.882
  1803          ?        2:1      +   0.193 *0.807
  1804          ?        2:1      +   0.193 *0.807
  1805          ?        2:1      +   0.118 *0.882
  1806          ?        1:0      +  *0.999  0.001
  1807          ?        1:0      +  *0.999  0.001
  1808          ?        2:1      +   0.118 *0.882
  1809          ?        1:0      +  *0.999  0.001
  1810          ?        2:1      +   0.193 *0.807
  1811          ?        1:0      +  *0.999  0.001
  1812          ?        2:1      +   0.118 *0.882
  1813          ?        2:1      +   0.193 *0.807
  1814          ?        1:0      +  *0.999  0.001
  1815          ?        2:1      +   0.193 *0.807
  1816          ?        2:1      +   0.193 *0.807
  1817          ?        2:1      +   0.118 *0.882
  1818          ?        2:1      +   0.193 *0.807
  1819          ?        2:1      +   0.193 *0.807
  1820          ?        1:0      +  *0.999  0.001
  1821          ?        2:1      +   0.118 *0.882
  1822          ?        2:1      +   0.118 *0.882
  1823          ?        1:0      +  *0.999  0.001
  1824          ?        2:1      +   0.193 *0.807
  1825          ?        1:0      +  *1      0    
  1826          ?        2:1      +   0.118 *0.882
  1827          ?        2:1      +   0.193 *0.807
  1828          ?        2:1      +   0.193 *0.807
  1829          ?        1:0      +  *0.999  0.001
  1830          ?        2:1      +   0.193 *0.807
  1831          ?        1:0      +  *1      0    
  1832          ?        2:1      +   0.193 *0.807
  1833          ?        1:0      +  *0.999  0.001
  1834          ?        2:1      +   0.118 *0.882
  1835          ?        1:0      +  *0.999  0.001
  1836          ?        2:1      +   0.193 *0.807
  1837          ?        1:0      +  *0.999  0.001
  1838          ?        1:0      +  *0.999  0.001
  1839          ?        2:1      +   0.193 *0.807
  1840          ?        2:1      +   0.118 *0.882
  1841          ?        2:1      +   0.118 *0.882
  1842          ?        2:1      +   0.118 *0.882
  1843          ?        1:0      +  *0.999  0.001
  1844          ?        1:0      +  *0.999  0.001
  1845          ?        1:0      +  *0.999  0.001
  1846          ?        2:1      +   0.118 *0.882
  1847          ?        2:1      +   0.118 *0.882
  1848          ?        1:0      +  *0.955  0.045
  1849          ?        2:1      +   0.193 *0.807
  1850          ?        2:1      +   0.193 *0.807
  1851          ?        1:0      +  *0.999  0.001
  1852          ?        2:1      +   0.118 *0.882
  1853          ?        2:1      +   0.118 *0.882
  1854          ?        2:1      +   0.118 *0.882
  1855          ?        2:1      +   0.118 *0.882
  1856          ?        2:1      +   0.118 *0.882
  1857          ?        1:0      +  *0.999  0.001
  1858          ?        2:1      +   0.193 *0.807
  1859          ?        1:0      +  *0.955  0.045
  1860          ?        2:1      +   0.193 *0.807
  1861          ?        2:1      +   0.118 *0.882
  1862          ?        2:1      +   0.193 *0.807
  1863          ?        2:1      +   0.193 *0.807
  1864          ?        2:1      +   0.193 *0.807
  1865          ?        2:1      +   0.118 *0.882
  1866          ?        1:0      +  *0.999  0.001
  1867          ?        1:0      +  *1      0    
  1868          ?        1:0      +  *0.999  0.001
  1869          ?        2:1      +   0.193 *0.807
  1870          ?        1:0      +  *1      0    
  1871          ?        2:1      +   0.118 *0.882
  1872          ?        1:0      +  *0.999  0.001
  1873          ?        2:1      +   0.193 *0.807
  1874          ?        1:0      +  *0.999  0.001
  1875          ?        2:1      +   0.193 *0.807
  1876          ?        1:0      +  *0.999  0.001
  1877          ?        2:1      +   0.118 *0.882
  1878          ?        1:0      +  *0.999  0.001
  1879          ?        2:1      +   0.118 *0.882
  1880          ?        2:1      +   0.193 *0.807
  1881          ?        2:1      +   0.193 *0.807
  1882          ?        2:1      +   0.193 *0.807
  1883          ?        1:0      +  *0.999  0.001
  1884          ?        1:0      +  *0.999  0.001
  1885          ?        2:1      +   0.193 *0.807
  1886          ?        1:0      +  *0.999  0.001
  1887          ?        2:1      +   0.193 *0.807
  1888          ?        1:0      +  *0.999  0.001
  1889          ?        1:0      +  *0.999  0.001
  1890          ?        1:0      +  *1      0    
  1891          ?        2:1      +   0.193 *0.807
  1892          ?        2:1      +   0.193 *0.807
  1893          ?        2:1      +   0.193 *0.807
  1894          ?        1:0      +  *1      0    
  1895          ?        2:1      +   0.118 *0.882
  1896          ?        1:0      +  *0.999  0.001
  1897          ?        1:0      +  *0.999  0.001
  1898          ?        1:0      +  *0.999  0.001
  1899          ?        1:0      +  *0.999  0.001
  1900          ?        1:0      +  *1      0    
  1901          ?        1:0      +  *1      0    
  1902          ?        2:1      +   0.193 *0.807
  1903          ?        2:1      +   0.118 *0.882
  1904          ?        2:1      +   0.193 *0.807
  1905          ?        1:0      +  *1      0    
  1906          ?        2:1      +   0.118 *0.882
  1907          ?        2:1      +   0.193 *0.807
  1908          ?        1:0      +  *0.999  0.001
  1909          ?        2:1      +   0.193 *0.807
  1910          ?        2:1      +   0.118 *0.882
  1911          ?        1:0      +  *0.999  0.001
  1912          ?        2:1      +   0.193 *0.807
  1913          ?        1:0      +  *0.999  0.001
  1914          ?        1:0      +  *1      0    
  1915          ?        2:1      +   0.118 *0.882
  1916          ?        1:0      +  *1      0    
  1917          ?        1:0      +  *1      0    
  1918          ?        2:1      +   0.118 *0.882
  1919          ?        2:1      +   0.118 *0.882
  1920          ?        1:0      +  *1      0    
  1921          ?        2:1      +   0.193 *0.807
  1922          ?        1:0      +  *0.999  0.001
  1923          ?        2:1      +   0.118 *0.882
  1924          ?        2:1      +   0.193 *0.807
  1925          ?        1:0      +  *0.999  0.001
  1926          ?        2:1      +   0.193 *0.807
  1927          ?        1:0      +  *0.999  0.001
  1928          ?        1:0      +  *0.999  0.001
  1929          ?        2:1      +   0.193 *0.807
  1930          ?        1:0      +  *0.999  0.001
  1931          ?        2:1      +   0.118 *0.882
  1932          ?        1:0      +  *0.999  0.001
  1933          ?        1:0      +  *0.999  0.001
  1934          ?        2:1      +   0.118 *0.882
  1935          ?        1:0      +  *0.999  0.001
  1936          ?        1:0      +  *0.999  0.001
  1937          ?        1:0      +  *1      0    
  1938          ?        1:0      +  *0.955  0.045
  1939          ?        2:1      +   0.193 *0.807
  1940          ?        2:1      +   0.193 *0.807
  1941          ?        2:1      +   0.193 *0.807
  1942          ?        2:1      +   0.118 *0.882
  1943          ?        2:1      +   0.118 *0.882
  1944          ?        1:0      +  *0.999  0.001
  1945          ?        2:1      +   0.193 *0.807
  1946          ?        2:1      +   0.193 *0.807
  1947          ?        1:0      +  *0.999  0.001
  1948          ?        2:1      +   0.193 *0.807
  1949          ?        1:0      +  *0.923  0.077
  1950          ?        1:0      +  *0.999  0.001
  1951          ?        2:1      +   0.193 *0.807
  1952          ?        1:0      +  *0.999  0.001
  1953          ?        1:0      +  *0.999  0.001
  1954          ?        2:1      +   0.193 *0.807
  1955          ?        2:1      +   0.193 *0.807
  1956          ?        1:0      +  *0.999  0.001
  1957          ?        2:1      +   0.193 *0.807
  1958          ?        1:0      +  *0.999  0.001
  1959          ?        1:0      +  *0.999  0.001
  1960          ?        2:1      +   0.193 *0.807
  1961          ?        2:1      +   0.193 *0.807
  1962          ?        1:0      +  *0.999  0.001
  1963          ?        2:1      +   0.193 *0.807
  1964          ?        2:1      +   0.193 *0.807
  1965          ?        2:1      +   0.118 *0.882
